Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,443
design__inferred_latch__count,0
design__instance__count,13209
design__instance__area,80484.7
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,39
design__max_cap_violation__count__corner:nom_tt_025C_1v80,4
power__internal__total,0.02040700614452362
power__switching__total,0.02211538888514042
power__leakage__total,1.1554983103678751E-7
power__total,0.04252250865101814
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.48015226487168766
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.48015226487168766
timing__hold__ws__corner:nom_tt_025C_1v80,0.3130593650700956
timing__setup__ws__corner:nom_tt_025C_1v80,3.8527218061908037
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.313059
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,3.852722
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,138
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,39
design__max_cap_violation__count__corner:nom_ss_100C_1v60,4
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.6557781170372721
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.6557781170372721
timing__hold__ws__corner:nom_ss_100C_1v60,-0.07920531121828217
timing__setup__ws__corner:nom_ss_100C_1v60,-1.7062369777774422
timing__hold__tns__corner:nom_ss_100C_1v60,-0.9623360158912887
timing__setup__tns__corner:nom_ss_100C_1v60,-266.2111246792704
timing__hold__wns__corner:nom_ss_100C_1v60,-0.07920531121828217
timing__setup__wns__corner:nom_ss_100C_1v60,-1.7062369777774422
timing__hold_vio__count__corner:nom_ss_100C_1v60,47
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.915263
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,327
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-1.706237
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,327
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,39
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,4
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.4074159736006721
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.4074159736006721
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1087665543972105
timing__setup__ws__corner:nom_ff_n40C_1v95,5.938457005335399
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.108767
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,6.491246
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,183
design__max_fanout_violation__count,39
design__max_cap_violation__count,6
clock__skew__worst_hold,-0.40116153201455856
clock__skew__worst_setup,0.40116153201455856
timing__hold__ws,-0.17396284904996548
timing__setup__ws,-2.044752869343733
timing__hold__tns,-11.230331649161965
timing__setup__tns,-369.9499975519582
timing__hold__wns,-0.17396284904996548
timing__setup__wns,-2.044752869343733
timing__hold_vio__count,229
timing__hold_r2r__ws,0.106562
timing__hold_r2r_vio__count,0
timing__setup_vio__count,961
timing__setup_r2r__ws,-2.044753
timing__setup_r2r_vio__count,961
design__die__bbox,0.0 0.0 700.0 700.0
design__core__bbox,5.52 10.88 694.14 688.16
design__io,756
design__die__area,490000
design__core__area,466389
design__instance__count__stdcell,13209
design__instance__area__stdcell,80484.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.17257
design__instance__utilization__stdcell,0.17257
design__instance__count__class:inverter,24
design__instance__count__class:sequential_cell,935
design__instance__count__class:multi_input_combinational_cell,2990
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,37161
design__instance__count__class:tap_cell,6651
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,754
design__io__hpwl,195085732
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,371510
design__violations,0
design__instance__count__class:timing_repair_buffer,2050
design__instance__count__class:clock_buffer,297
design__instance__count__class:clock_inverter,122
design__instance__count__setup_buffer,3
design__instance__count__hold_buffer,717
antenna__violating__nets,32
antenna__violating__pins,33
route__antenna_violation__count,32
antenna_diodes_count,140
design__instance__count__class:antenna_cell,140
route__net,6783
route__net__special,2
route__drc_errors__iter:1,2453
route__wirelength__iter:1,414133
route__drc_errors__iter:2,907
route__wirelength__iter:2,413134
route__drc_errors__iter:3,696
route__wirelength__iter:3,413091
route__drc_errors__iter:4,4
route__wirelength__iter:4,413085
route__drc_errors__iter:5,0
route__wirelength__iter:5,413070
route__drc_errors,0
route__wirelength,413070
route__vias,45702
route__vias__singlecut,45702
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1234.06
timing__unannotated_net__count__corner:nom_tt_025C_1v80,195
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,195
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,195
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,39
design__max_cap_violation__count__corner:min_tt_025C_1v80,2
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.4706527523151204
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.4706527523151204
timing__hold__ws__corner:min_tt_025C_1v80,0.3100191302534784
timing__setup__ws__corner:min_tt_025C_1v80,4.05279288267085
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
